column,missing_count,missing_pct,dtype
Access_to_Resources,0,0.0,object
Attendance,0,0.0,int64
Distance_from_Home,0,0.0,object
Exam_Score,0,0.0,int64
Extracurricular_Activities,0,0.0,object
Family_Income,0,0.0,object
Gender,0,0.0,object
Hours_Studied,0,0.0,int64
Internet_Access,0,0.0,object
Learning_Disabilities,0,0.0,object
Motivation_Level,0,0.0,object
Parental_Education_Level,0,0.0,object
Parental_Involvement,0,0.0,object
Peer_Influence,0,0.0,object
Physical_Activity,0,0.0,int64
Previous_Scores,0,0.0,int64
School_Type,0,0.0,object
Sleep_Hours,0,0.0,int64
Teacher_Quality,0,0.0,object
Tutoring_Sessions,0,0.0,int64
