,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Hours_Studied,6607.0,,,,19.975329196306948,5.990594336578764,1.0,16.0,20.0,24.0,44.0
Attendance,6607.0,,,,79.97744816104132,11.547474961482802,60.0,70.0,80.0,90.0,100.0
Parental_Involvement,6607,3,Medium,3362,,,,,,,
Access_to_Resources,6607,3,Medium,3319,,,,,,,
Extracurricular_Activities,6607,2,Yes,3938,,,,,,,
Sleep_Hours,6607.0,,,,7.029060087785682,1.4681202267434736,4.0,6.0,7.0,8.0,10.0
Previous_Scores,6607.0,,,,75.07053125472983,14.399784350758972,50.0,63.0,75.0,88.0,100.0
Motivation_Level,6607,3,Medium,3351,,,,,,,
Internet_Access,6607,2,Yes,6108,,,,,,,
Tutoring_Sessions,6607.0,,,,1.4937187831088239,1.2305704213240398,0.0,1.0,1.0,2.0,8.0
Family_Income,6607,3,Low,2672,,,,,,,
Teacher_Quality,6607,3,Medium,4003,,,,,,,
School_Type,6607,2,Public,4598,,,,,,,
Peer_Influence,6607,3,Positive,2638,,,,,,,
Physical_Activity,6607.0,,,,2.9676101104888755,1.031231092627124,0.0,2.0,3.0,4.0,6.0
Learning_Disabilities,6607,2,No,5912,,,,,,,
Parental_Education_Level,6607,3,High School,3313,,,,,,,
Distance_from_Home,6607,3,Near,3951,,,,,,,
Gender,6607,2,Male,3814,,,,,,,
Exam_Score,6607.0,,,,67.23565914938702,3.8904557812617235,55.0,65.0,67.0,69.0,101.0
